distribuidor,filial_anterior,cod_vend1,nome_vend1,celula,cliente,cnpj,razao,fantasia,endereco,bairro,cidade,micro_regiao,meso_regiao,estado,regiao,cep,ibm_cliente,clube_status,tipo_cliente,banding,cod_seg,nome_seg,emissao,mes,ano,ano_mes,dt_entrega,produto,descricao,classe,familia,tier,aplicacao,origem_prod,tipo_sh,volume,cfop,numero_nf,serie,quantidade,vol_total,fat_bruto,fat_liquido,liquido_shell,custo,ibm_distribuidor,tipo_global,ibm_shell,embalagem,cod_vend2,armazem,grupo_alvorada,rede_top,segmentacao,troca_oleo,pitstop,cod_supervisor,nome_supervisor,cod_gerente,nome_gerente,combo_descri,combo_cod,peso_bruto,transportadora,custo_repo,cod_ibge,cond_pgto,prazo_med,tipo_prod1
Nacional,NACIONAL / MATRIZ / ES,250017,LORENA RAISA VALENTE,LORENA RAISA VALENTE,00002304,03537664000263,MVC VEICULOS LTDA,MVC VEICULOS LTDA,RODOVIA BR 101 KM 67 SN0,SERNAMBY,SAO MATEUS,,,ES,,29930650,7001415,,FWS,,RAFI,CONCES AUTO FIAT,02/05/2024,05,2024,2024M05,07/05/2024,46127905,MOPAR MAXPRO DIESEL DPF 5W-30 CX 12X1L,OLEO,MOPAR,MOPAR MAXPRO,consumer,Mineral,Mainstream,12.0,5655,000016231,001,5,60.0,2150.5,1951.57,0,956.07,005655,Mainstream,7005655,EMBALADO  ,,20,0,Nao,,,,250002,WANDERSON CASTIGLIONI,250001,Roney Perin da Cruz,,,10.56,000002 - TRANSCHERRER TRANSPORTADORA LTDA,0,04906,Z60 - 60 DIAS,60,SH
Nacional,NACIONAL / MATRIZ / ES,250017,LORENA RAISA VALENTE,LORENA RAISA VALENTE,00002304,03537664000263,MVC VEICULOS LTDA,MVC VEICULOS LTDA,RODOVIA BR 101 KM 67 SN0,SERNAMBY,SAO MATEUS,,,ES,,29930650,7001415,,FWS,,RAFI,CONCES AUTO FIAT,02/05/2024,05,2024,2024M05,07/05/2024,46128905,MOPAR MAXPRO 5W-30 CX 12X1L,OLEO,MOPAR,MOPAR MAXPRO 5,consumer,Mineral,Mainstream,12.0,5655,000016231,001,16,192.0,5585.28,5068.65,0,2794.2,005655,Mainstream,7005655,EMBALADO  ,,20,0,Nao,,,,250002,WANDERSON CASTIGLIONI,250001,Roney Perin da Cruz,,,10.56,000002 - TRANSCHERRER TRANSPORTADORA LTDA,0,04906,Z60 - 60 DIAS,60,SH
Nacional,NACIONAL / MATRIZ / ES,250017,LORENA RAISA VALENTE,LORENA RAISA VALENTE,00002304,03537664000263,MVC VEICULOS LTDA,MVC VEICULOS LTDA,RODOVIA BR 101 KM 67 SN0,SERNAMBY,SAO MATEUS,,,ES,,29930650,7001415,,FWS,,RAFI,CONCES AUTO FIAT,02/05/2024,05,2024,2024M05,07/05/2024,46130905,MOPAR MAXPRO SYNT 0W20 (SP/GF-6A) CX12X1L,OLEO,MOPAR,MOPAR MAXPRO,consumer,Mineral,Mainstream,12.0,5655,000016231,001,23,276.0,8910.43,8086.2,0,4027.98,005655,Mainstream,7005655,EMBALADO  ,,20,0,Nao,,,,250002,WANDERSON CASTIGLIONI,250001,Roney Perin da Cruz,,,10.56,000002 - TRANSCHERRER TRANSPORTADORA LTDA,0,04906,Z60 - 60 DIAS,60,SH
Nacional,NACIONAL / MATRIZ / ES,250017,LORENA RAISA VALENTE,LORENA RAISA VALENTE,00002303,03537664000182,MVC VEICULOS LTDA,MVC VEICULOS LTDA,AVENIDA PREFEITO SAMUEL BATISTA CRU,NOSSA SENHORA DA CONCEICAO,LINHARES,,,ES,,29900527,7001414,,FWS,,RAFI,CONCES AUTO FIAT,02/05/2024,05,2024,2024M05,03/05/2024,46130905,MOPAR MAXPRO SYNT 0W20 (SP/GF-6A) CX12X1L,OLEO,MOPAR,MOPAR MAXPRO,consumer,Mineral,Mainstream,12.0,5655,000016232,001,1,12.0,387.41,351.58,0,175.13,005655,Mainstream,7005655,EMBALADO  ,,20,0,Nao,,,,250002,WANDERSON CASTIGLIONI,250001,Roney Perin da Cruz,,,10.56,000002 - TRANSCHERRER TRANSPORTADORA LTDA,0,03205,Z60 - 60 DIAS,60,SH
Nacional,NACIONAL / MATRIZ / ES,250017,LORENA RAISA VALENTE,LORENA RAISA VALENTE,00005204,11277336000627,VM COMERCIO DE AUTOMOVEIS LTDA,VM COMERCIO DE AUTOM,AVENIDA FRANCISCO LACERDA DE 164 A,GILBERTO MACHADO,CACHOEIRO DE ITAPEMIRIM,,,ES,,29303382,7003650,,FWS,,RAFC,CONCES AUTO FCA,02/05/2024,05,2024,2024M05,06/05/2024,46129905,MOPAR MAXPRO SYNTHETIC 0W-30 CX 12X1L,OLEO,MOPAR,MOPAR MAXPRO,consumer,Mineral,Mainstream,12.0,5655,000016233,001,7,84.0,3209.85,2912.94,0,1488.22,005655,Mainstream,7005655,EMBALADO  ,,20,0,Nao,,,,250002,WANDERSON CASTIGLIONI,250001,Roney Perin da Cruz,,,10.56,000002 - TRANSCHERRER TRANSPORTADORA LTDA,0,01209,Z30 - 30 DIAS,30,SH
Nacional,NACIONAL / MATRIZ / ES,250017,LORENA RAISA VALENTE,LORENA RAISA VALENTE,00004401,01266272000109,AUTOBAHN CAMINHOES E ONIBUS LTDA,AUTOBAHN CAMINHOES E,BR 101 NORTE KM 265 SN0,CARAPINA,SERRA,,,ES,,29176798,7000417,,FWS,,RCVK,CONCES CAM VOLKS MAN,02/05/2024,05,2024,2024M05,  /  /    ,45276809,SPIRAX S2 A 85W-140 TB 209L,OLEO,SPIRAX,SPIRAX S2,Transport,Mineral,Mainstream,209.0,5655,000016234,001,2,418.0,13594.7,12337.19,0,4536.49,005655,Mainstream,7005655,EMBALADO  ,,20,0,Nao,,,,250002,WANDERSON CASTIGLIONI,250001,Roney Perin da Cruz,,,189.1,000003 - NOSSO CARRO,0,05002,Z30 - 30 DIAS,30,SH
Nacional,NACIONAL / MATRIZ / ES,250017,LORENA RAISA VALENTE,LORENA RAISA VALENTE,00001202,71189278001098,ORLETTI VEICULOS E PECAS LTDA,ORLETTI VEICULOS E P,AVENIDA FRANCISCO LACERDA DE AGUIAR,GILBERTO MACHADO,CACHOEIRO DE ITAPEMIRIM,,,ES,,29303300,7008390,,FWS,,RAVK,CONCES AUTO VOLKS,02/05/2024,05,2024,2024M05,06/05/2024,40078905,MAXI PERFORMANCE 5W30 SP GF-6 12X1L,OLEO,MAXI,MAXI PERFORMANCE,Consumer,Sint�tico,Mainstream,12.0,5655,000016235,001,25,300.0,6749.75,6125.4,0,3785.21,005655,Mainstream,7005655,EMBALADO  ,,20,0,Nao,,,,250002,WANDERSON CASTIGLIONI,250001,Roney Perin da Cruz,,,10.56,000002 - TRANSCHERRER TRANSPORTADORA LTDA,0,01209,Z30 - 30 DIAS,30,SH
Nacional,NACIONAL / MATRIZ / ES,250017,LORENA RAISA VALENTE,LORENA RAISA VALENTE,00001202,71189278001098,ORLETTI VEICULOS E PECAS LTDA,ORLETTI VEICULOS E P,AVENIDA FRANCISCO LACERDA DE AGUIAR,GILBERTO MACHADO,CACHOEIRO DE ITAPEMIRIM,,,ES,,29303300,7008390,,FWS,,RAVK,CONCES AUTO VOLKS,02/05/2024,05,2024,2024M05,06/05/2024,40082905,MAXI PERFORMANCE 20W50 SL CX 12X1L,OLEO,MAXI,MAXI PERFORMANCE,consumer,Sint tico,Mainstream,12.0,5655,000016235,001,4,48.0,996.52,904.34,0,575.26,005655,Mainstream,7005655,EMBALADO  ,,20,0,Nao,,,,250002,WANDERSON CASTIGLIONI,250001,Roney Perin da Cruz,,,10.56,000002 - TRANSCHERRER TRANSPORTADORA LTDA,0,01209,Z30 - 30 DIAS,30,SH
Nacional,NACIONAL / MATRIZ / ES,250017,LORENA RAISA VALENTE,LORENA RAISA VALENTE,00001202,71189278001098,ORLETTI VEICULOS E PECAS LTDA,ORLETTI VEICULOS E P,AVENIDA FRANCISCO LACERDA DE AGUIAR,GILBERTO MACHADO,CACHOEIRO DE ITAPEMIRIM,,,ES,,29303300,7008390,,FWS,,RAVK,CONCES AUTO VOLKS,02/05/2024,05,2024,2024M05,06/05/2024,40088905,MAXI PERFORMANCE 0W20 ECONOMY CX 12X1L,OLEO,MAXI,MAXI PERFORMANCE,consumer,Mineral,Mainstream,12.0,5655,000016235,001,4,48.0,2037.12,1848.68,0,1025.08,005655,Mainstream,7005655,EMBALADO  ,,20,0,Nao,,,,250002,WANDERSON CASTIGLIONI,250001,Roney Perin da Cruz,,,10.56,000002 - TRANSCHERRER TRANSPORTADORA LTDA,0,01209,Z30 - 30 DIAS,30,SH
Nacional,NACIONAL / MATRIZ / ES,250017,LORENA RAISA VALENTE,LORENA RAISA VALENTE,00001202,71189278001098,ORLETTI VEICULOS E PECAS LTDA,ORLETTI VEICULOS E P,AVENIDA FRANCISCO LACERDA DE AGUIAR,GILBERTO MACHADO,CACHOEIRO DE ITAPEMIRIM,,,ES,,29303300,7008390,,FWS,,RAVK,CONCES AUTO VOLKS,02/05/2024,05,2024,2024M05,06/05/2024,40089905,MAXI PERFORMANCE 10W40 SP 501 505 12X1L,OLEO,MAXI,MAXI PERFORMANCE,Consumer,Mineral,Mainstream,12.0,5655,000016235,001,14,168.0,3779.86,3430.23,0,2378.12,005655,Mainstream,7005655,EMBALADO  ,,20,0,Nao,,,,250002,WANDERSON CASTIGLIONI,250001,Roney Perin da Cruz,,,10.56,000002 - TRANSCHERRER TRANSPORTADORA LTDA,0,01209,Z30 - 30 DIAS,30,SH
Nacional,NACIONAL / MATRIZ / ES,250017,LORENA RAISA VALENTE,LORENA RAISA VALENTE,00003001,62092754000680,BAUKO MAQUINAS SA,BAUKO MAQUINAS S/A,AVE 3 LT.0405-QD.CBL.I SN0,POLO INDUSTRIAL PIRACEMA,SERRA,,,ES,,29161255,7008041,,FWS,,RTKO,CONCES TRAT KOMATSU,02/05/2024,05,2024,2024M05,07/05/2024,43346855,KOMATSU HO 46 FR 20L,OLEO,KOMATS,KOMATSU HO 46,Transport,Mineral,Mainstream,20.0,5655,000016236,001,21,420.0,8307.39,7538.96,0,3754.9,005655,Mainstream,7005655,EMBALADO  ,,20,0,Nao,,,,250002,WANDERSON CASTIGLIONI,250001,Roney Perin da Cruz,,,17.505,000003 - NOSSO CARRO,0,05002,Z30 - 30 DIAS,30,SH
Nacional,NACIONAL / MATRIZ / ES,250012,NUBIA SOUZA AZEVEDO,NUBIA SOUZA AZEVEDO,00940800,23173225000145,MARCELA CINTIA CAUS BATISTA 12282123760,CENTER CAR MD,RUA WALDIR JUNGER 182,ALVORADA,VILA VELHA,,,ES,,29117600,,,B2C,,ROMA,OFICINAS DE AUTOMOVEIS,02/05/2024,05,2024,2024M05,  /  /    ,43135905,HELIX HX8 SP GF6 5W-30 CX 12X1L NEW,OLEO,HELIX,HELIX HX8 SP,consumer,Sint tico,Premium,12.0,5656,000016237,001,2,24.0,597.6,542.32,0,332.35,005654,Premium,7005654,EMBALADO  ,,01,0,Nao,,,,250005,NILO SEGAL,250002,WANDERSON CASTIGLIONI,MIX CAIXA,HELIXM,10.56,000003 - NOSSO CARRO,0,05200,007 - 20/40DD,30,SH
Nacional,NACIONAL / MATRIZ / ES,250022,JESSICA SOUZA MEDEIROS,JESSICA SOUZA MEDEIROS,00790000,04454790003585,AIR BP BRASIL LTDA.,AIR BP BRASIL LTDA.,AV FERNANDO FERRARI N�3800,AEROPORTO,VITORIA,,,ES,,29075630,,,B2C,,ROMA,OFICINAS DE AUTOMOVEIS,03/05/2024,05,2024,2024M05,03/05/2024,44422855,RIMULA R3 EXTRA 15W40 CI-4 FR 20L,OLEO,RIMULA,RIMULA R3 EXTRA,Transport,Mineral,Mainstream,20.0,5655,000016238,001,3,60.0,1081.86,981.79,0,690.33,005654,Mainstream,7005654,EMBALADO  ,,01,0,Nao,,,,250005,NILO SEGAL,250002,WANDERSON CASTIGLIONI,,,18.0,000003 - NOSSO CARRO,0,05309,013 - 28/56DDL,42,SH
Nacional,NACIONAL / MATRIZ / ES,250016,ALEXSANDRO DOS SANTOS SOBRINHO,ALEXSANDRO DOS SANTOS SOBRINHO,00874700,05158344000147,CHB LOCACOES SERVICOS E COMERCIO LTDA,CHB LOCACOES SERVIC,R CERTA 163,JARDIM DORALY,GUARULHOS,,,SP,,07075180,,,B2B,,COCO,OUTROS CONSUMIDORES,03/05/2024,05,2024,2024M05,  /  /    ,44414855,RIMULA RT4 X 15W40 SHELL FR 20L,OLEO,RIMULA,RIMULA RT4X,Transport,Mineral,Mainstream,20.0,6656,000016239,001,2,40.0,749.6,680.26,0,485.06,005654,Mainstream,7005654,EMBALADO  ,250024,01,0,Nao,,,,250014,RODRIGO LAZARO,250002,WANDERSON CASTIGLIONI,,,17.596,-,0,18800,027 - 30 DDL,30,SH
Nacional,NACIONAL / MATRIZ / ES,250022,JESSICA SOUZA MEDEIROS,JESSICA SOUZA MEDEIROS,00500200,33929495000197,VALTAIR ELOISIO 16682823649,VALCAR AUTOMOTIVA (,AV PETROPOLIS 250,BARCELONA,SERRA,,,ES,,29166510,,,B2C,,RATV,AUTOPECAS VEICULOS,03/05/2024,05,2024,2024M05,06/05/2024,43135905,HELIX HX8 SP GF6 5W-30 CX 12X1L NEW,OLEO,HELIX,HELIX HX8 SP,consumer,Sint tico,Premium,12.0,5656,000016240,001,3,36.0,896.4,813.48,0,498.53,005654,Premium,7005654,EMBALADO  ,,01,0,Nao,,,,250005,NILO SEGAL,250002,WANDERSON CASTIGLIONI,MIX CAIXA,HELIXM,10.56,000003 - NOSSO CARRO,0,05002,004 - 28/56/84 DD,56,SH
Nacional,NACIONAL / MATRIZ / ES,250027,RODRIGO GOMES,RODRIGO GOMES,00101901,33984868000122,VACBRAS COMERCIO E SERVICOS DE MAQUINAS,VACBRAS,LOGRADOURO R CINCO,DAS LARANJEIRAS,SERRA,,,ES,,29175555,,,B2B,,CINC,OUTRAS INDUSTRIAS,03/05/2024,05,2024,2024M05,  /  /    ,45284855,TELLUS S2 M 100 FR. 20LT.,OLEO,TELLUS,TELLUS S2,Industry,Mineral,Mainstream,20.0,5655,000016241,001,2,40.0,1709.0,1550.92,0,874.78,005654,Mainstream,7005654,EMBALADO  ,250024,01,0,Nao,,,,250014,RODRIGO LAZARO,250002,WANDERSON CASTIGLIONI,,,17.82,000003 - NOSSO CARRO,0,05002,022 - 30/60DDL,45,SH
Nacional,NACIONAL / MATRIZ / ES,250012,NUBIA SOUZA AZEVEDO,NUBIA SOUZA AZEVEDO,00470800,17230317000117,JANDERSON GAVA ASEVEDO,CENTRO AUTOMOTIVO XO,R EMYDIO FERREIRA SACRAMENTO 799,ATAIDE,VILA VELHA,,,ES,,29119030,,,B2C,,RATV,AUTOPECAS VEICULOS,03/05/2024,05,2024,2024M05,06/05/2024,41076905,HELIX HX8 PROFESSIONAL AV 5W40 CX 12X1L,OLEO,HELIX,HELIX HX8,Consumer,Sintetico,Premium,12.0,5655,000016242,001,1,12.0,419.88,381.04,0,222.76,005654,Premium,7005654,EMBALADO  ,,01,0,Nao,,,,250005,NILO SEGAL,250002,WANDERSON CASTIGLIONI,MIX CAIXA,HELIXM,10.28,000003 - NOSSO CARRO,0,05200,014 - 28DDL,28,SH
Nacional,NACIONAL / MATRIZ / ES,250022,JESSICA SOUZA MEDEIROS,JESSICA SOUZA MEDEIROS,00790200,37401943000136,ELIVANDO DE ALMEIDA CUNHA 09981948756,AUTO QUALITY REPARAC,R GAIVOTA N�20,NOVO HORIZONTE,SERRA,,,ES,,29163322,,,B2C,,ROMA,OFICINAS DE AUTOMOVEIS,03/05/2024,05,2024,2024M05,03/05/2024,43135905,HELIX HX8 SP GF6 5W-30 CX 12X1L NEW,OLEO,HELIX,HELIX HX8 SP,consumer,Sint tico,Premium,12.0,5656,000016243,001,2,24.0,597.6,542.32,0,332.35,005654,Premium,7005654,EMBALADO  ,,01,0,Nao,,,,250005,NILO SEGAL,250002,WANDERSON CASTIGLIONI,MIX CAIXA,HELIXM,10.56,000003 - NOSSO CARRO,0,05002,013 - 28/56DDL,42,SH
Nacional,NACIONAL / MATRIZ / ES,250013,RAISA BRIDI,RAISA BRIDI,00599501,28489532000153,POSTO ALVORADA LTDA,POSTO ALVORADA LTDA,AV CASTELO BRANCO 702,VILA LANDINHA,BARRA DE SAO FRANCISCO,,,ES,,29800000,,,VAREJO,,RPSH,POSTOS SHELL CIDADE,03/05/2024,05,2024,2024M05,07/05/2024,41064905,HELIX HX3 20W50 SL CX 12X1L,OLEO,HELIX,HELIX HX3,Consumer,Mineral,Mainstream,12.0,5655,000016244,001,4,48.0,959.04,870.33,0,569.84,005654,Mainstream,7005654,EMBALADO  ,,01,0,Nao,,,,250002,WANDERSON CASTIGLIONI,250001,Roney Perin da Cruz,MIX CAIXA,HELIXM,10.692,000002 - TRANSCHERRER TRANSPORTADORA LTDA,0,00904,019 - 28/42,35,SH
Nacional,NACIONAL / MATRIZ / ES,250013,RAISA BRIDI,RAISA BRIDI,00599501,28489532000153,POSTO ALVORADA LTDA,POSTO ALVORADA LTDA,AV CASTELO BRANCO 702,VILA LANDINHA,BARRA DE SAO FRANCISCO,,,ES,,29800000,,,VAREJO,,RPSH,POSTOS SHELL CIDADE,03/05/2024,05,2024,2024M05,07/05/2024,43135905,HELIX HX8 SP GF6 5W-30 CX 12X1L NEW,OLEO,HELIX,HELIX HX8 SP,consumer,Sint tico,Premium,12.0,5655,000016244,001,3,36.0,896.4,813.49,0,498.53,005654,Premium,7005654,EMBALADO  ,,01,0,Nao,,,,250002,WANDERSON CASTIGLIONI,250001,Roney Perin da Cruz,MIX CAIXA,HELIXM,10.56,000002 - TRANSCHERRER TRANSPORTADORA LTDA,0,00904,019 - 28/42,35,SH
Nacional,NACIONAL / MATRIZ / ES,250013,RAISA BRIDI,RAISA BRIDI,00599501,28489532000153,POSTO ALVORADA LTDA,POSTO ALVORADA LTDA,AV CASTELO BRANCO 702,VILA LANDINHA,BARRA DE SAO FRANCISCO,,,ES,,29800000,,,VAREJO,,RPSH,POSTOS SHELL CIDADE,03/05/2024,05,2024,2024M05,07/05/2024,44770905,ADVANCE 4T AX6 10W-30 (SL/MA2) CX 12X1L,OLEO,ADVANC,ADVANCE 4T AX6,Engine Oils - Motorcycle,Sint tico,Premium,12.0,5655,000016244,001,4,48.0,1095.56,994.21,0,615.63,005654,Premium,7005654,EMBALADO  ,,01,0,Nao,,,,250002,WANDERSON CASTIGLIONI,250001,Roney Perin da Cruz,,,10.56,000002 - TRANSCHERRER TRANSPORTADORA LTDA,0,00904,019 - 28/42,35,SH
